Date,Month,Quarter,Year,,
05-01-2025,January,Q1,2025,,
06-01-2025,January,Q1,2025,,
07-01-2025,January,Q1,2025,,
08-01-2025,January,Q1,2025,,
09-01-2025,January,Q1,2025,,
10-01-2025,January,Q1,2025,,
11-01-2025,January,Q1,2025,,
12-01-2025,January,Q1,2025,,
13-01-2025,January,Q1,2025,,
14-01-2025,January,Q1,2025,,
15-01-2025,January,Q1,2025,,
16-01-2025,January,Q1,2025,,
17-01-2025,January,Q1,2025,,
18-01-2025,January,Q1,2025,,
19-01-2025,January,Q1,2025,,
20-01-2025,January,Q1,2025,,
21-01-2025,January,Q1,2025,,
22-01-2025,January,Q1,2025,,
23-01-2025,January,Q1,2025,,
24-01-2025,January,Q1,2025,,
